,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
70973,Italy,"This 90th anniversary edition boasts enticing aromas of baked plum, crushed violet, new leather, French oak and a whiff of pipe tobacco. The firm concentrated palate presents layers of dried blackberry, black cherry extract, licorice and cake spice framed in assertive fine-grained tannins. Give it a few more years to fully develop. Drink through 2018–2026.",Famiglia Pasqua Riserva,92,190.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Pasqua 2006 Famiglia Pasqua Riserva  (Amarone della Valpolicella),Red Blend,Pasqua
70974,US,"A youthful expression of the grape, this bottling is clean and fresh on the nose with pressed olallieberries, candied blueberries, violet extract and a nicely smoky char component as well. There is exuberant energy on the sip, where that candied blueberry flavor is cut by savory miso-like flavors. Relatively light and lithe, this would pair with a wide variety of foods.",Siempre Happy Canyon Vineyard,92,70.0,California,Happy Canyon of Santa Barbara,Central Coast,Matt Kettmann,@mattkettmann,Rideau 2014 Siempre Happy Canyon Vineyard Malbec (Happy Canyon of Santa Barbara),Malbec,Rideau
70979,Argentina,"Jammy raspberry and plum aromas come with accents of dusty herbs and black licorice. A saturated, lush, jammy palate features soft, baked flavors of cassis and wild berry, while the finish delivers mint, chocolate and lasting berry ripeness. Drink through 2019.",Finca La Escuela Estate Grown,92,40.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,TintoNegro 2013 Finca La Escuela Estate Grown Malbec (Mendoza),Malbec,TintoNegro
70981,South Africa,"This is a lush, creamy Chenin, brimming with rich notes of honeycomb, honeydew, ripe peach and orange cream. The palate is full and toasty, though ample acidity helps to keep the mouthfeel bright. Notes of baking spice and toasted nuts unfold on the back and linger long on the close. It's delicious now, but should hold and evolve well through 2021.",Reserve,92,35.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,DeMorgenzon 2015 Reserve Chenin Blanc (Stellenbosch),Chenin Blanc,DeMorgenzon
70986,US,"This half Cabernet, one quarter each Merlot and Cab Franc offers a lovely mix of herb and earth, moderate density, nicely spiced, with brambly red fruits. It shows delicate old vine character, making up with refined herbal flavors what it lacks in fruit sweetness.",Sagemoor Vineyard Reserve,90,50.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Tamarack Cellars 2006 Sagemoor Vineyard Reserve Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Tamarack Cellars
70993,US,"This is a smooth, rich and very drinkable Cabernet Sauvignon. It shows ripely classic flavors of blackberries, black currants, minerals and cedar. The tannins are brisk and furry, but the wine doesn't seem like a longterm ager. Good now and through 2014.",,90,19.0,California,Napa Valley,Napa,,,Goyette 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Goyette
71019,US,"Sineann has a stellar record with Cabs from Oregon and Washington State. Now they're making a Napa Cab, from a tiny vineyard in the Oak Knoll District. They've brought their Bordeaux-inspired vision to California, producing a structured wine brimming with tannins and acids, yet with rewarding currant, mocha and smoky oak flavors.",Lazare Vineyards,93,64.0,California,Napa Valley,Napa,,,Sineann 2006 Lazare Vineyards Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sineann
71026,France,"Classic Sauternes, treading the fine line between sweetness and elegance. Initially, it seems to be dominated by the botrytis, but then sweet fruits also show, with ripe yellow fruits, honey and almonds, touched with citrus. As it develops, the wine will become richer and more intense.",,93,110.0,Bordeaux,Sauternes,,Roger Voss,@vossroger,Château Lafaurie-Peyraguey 2005  Sauternes,Bordeaux-style White Blend,Château Lafaurie-Peyraguey
71043,Italy,"Spice, cherry and chewy blueberry characterize this youthful Syrah from Sicily. This is a generous and proud value wine that delivers aromas of white pepper, plum, dark fruit and hickory smoke. It offers an easy, pleasurable drinking experience that won't hit your wallet.",,86,10.0,Sicily & Sardinia,Sicilia,,,,Cusumano 2007 Syrah (Sicilia),Syrah,Cusumano
71060,Italy,"Aromas of freshly milled clove and peppercorn are backed by mature fruit, strawberry and raspberry. This Primitivo offers interesting texture and a gritty, raw mouthfeel with sour cherry on the close.",Santufili,86,30.0,Southern Italy,Salento,,,,Mocavero 2003 Santufili Primitivo (Salento),Primitivo,Mocavero
71073,Italy,"The wine opens with thick, purple concentration and segues to earthy aromas of asphalt, tar and mineral backed by dark fruit, prune and berry. It's a strange wine with too much emphasis on those heavy resin and tar notes but it would pair well with Mexican chocolate mole sauce.",Hirpus,86,,Southern Italy,Taurasi,,,,Contrada Michele 2004 Hirpus  (Taurasi),Aglianico,Contrada Michele
71076,US,"Fans of oaky Chards will find this one perfectly acceptable. It's dry and crisp, with ripe pear, peach, pineapple and smoky barrel flavors that define the California style.",,86,25.0,California,Santa Barbara County,Central Coast,,,Sanford 2006 Chardonnay (Santa Barbara County),Chardonnay,Sanford
71083,US,"Very fresh, light and a little candylike in flavor, this vivid-pink wine is dry and fruity. It is charming and easy to sip.",Dry Sangiovese,88,13.0,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Scotto Family Cellars 2016 Dry Sangiovese Rosé (Lodi),Rosé,Scotto Family Cellars
71085,Portugal,"With 15 months of wood aging enhancing the natural richness of old vines, this impressive wine is both spicy and packed with fruit. It is young, still with its bright baby fruit and with acidity that needs to soften. The wine, with its pepper toast flavors as well as its rich apple and citrus fruits, will be best from 2018.",Crooked Vines Vinho Branco,88,25.0,Douro,,,Roger Voss,@vossroger,Secret Spot Wines 2015 Crooked Vines Vinho Branco White (Douro),Portuguese White,Secret Spot Wines
71086,US,"Quite dark in the glass, this bottling from a vineyard often known for subtlety packs in a ton of power and darkness, starting with hefty blackberry, tree bark and sarsaparilla on the nose. Tart black-plum-skin flavors kick off the big palate, which grabs attention but is a little clumsy at this stage of life. Patience may bring cohesion.",Talley Rincon,88,65.0,California,Arroyo Grande Valley,Central Coast,Matt Kettmann,@mattkettmann,Tantara 2015 Talley Rincon Pinot Noir (Arroyo Grande Valley),Pinot Noir,Tantara
71093,US,"This full-bodied Bordeaux-style blend is hardly simple and fruity. It has earthy spicy leathery aromas along with raspberry flavors tinged by earth and tobacco, plus moderate tannins for a pleasantly grippy texture.",Tatr,88,43.0,California,California,California Other,Jim Gordon,@gordone_cellars,Bel Vino 2014 Tatr Red (California),Red Blend,Bel Vino
71125,Australia,"Produced by the transfer method, with gas levels adjusted and a dosage the results in approximately 14g/L of sugar, this is a slightly mint and eucalypt-scented sparkler dominated by black cherries and coffee. Ends on a slightly dusty note. Multipe U.S. Importers.",The Madam Sparkling,86,15.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Hugh Hamilton 2004 The Madam Sparkling Merlot (McLaren Vale),Merlot,Hugh Hamilton
71136,Spain,This leesy wine has a lot of vanilla on the nose and a tan color. It shows only modest intensity on the palate along with distant flavors of apple and melon. A soft finish says drink this immediately because it may not last long into 2014.,,85,12.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,Pazo Serantellos 2012 Albariño (Rías Baixas),Albariño,Pazo Serantellos
71142,US,"This is a savory wine whose price makes it a decent value. It's crisp in acidity, with off-dry lemon, lime, tangerine and honey flavors. Easy to drink with almost anything that calls for a slightly sweet white wine.",Estate Grown,85,18.0,California,Oak Knoll District,Napa,,,Materra Cunat Family Vineyards 2012 Estate Grown Sauvignon Blanc (Oak Knoll District),Sauvignon Blanc,Materra Cunat Family Vineyards
71149,US,"Straightforward aromas of crisp apple and pear dominate this Viognier's nose. This is a medium-bodied, easygoing selection that would pair well with casual fare like chicken salad sandwiches and baked cod.",,85,30.0,Virginia,Virginia,,,,Chateau Morrisette 2011 Viognier (Virginia),Viognier,Chateau Morrisette
71175,Italy,"Thick, dark concentration sets the tone, but elegance and harmony are achieved thanks to delicate mineral and balsam notes that add buoyancy and personality. This is a wine that speaks volumes about its Tuscan territory and you can almost taste that sun-drenched, chalky minerality sucked up through the vines' roots.",Il Carbonaione,92,60.0,Tuscany,Toscana,,,,Poggio Scalette 2004 Il Carbonaione Sangiovese (Toscana),Sangiovese,Poggio Scalette
71176,Portugal,"A young, powerful wine, dominated by bitter chocolate, cocoa and dense ripe black fruits. The wood element lifts this mix of flavors and gives a great sense of structure. Dark figs and herbs add complexity, while the tannins are powerful.",Domini Plus,92,37.0,Douro,,,Roger Voss,@vossroger,J.M. da Fonseca and Van Zeller 2004 Domini Plus Red (Douro),Portuguese Red,J.M. da Fonseca and Van Zeller
71201,US,"Impératrice is the book-end companion to the Cab-dominated Courageux from William Grassie. Here, the Merlot dominates the blend, produced in a Right Bank style showing brambly, incense-laden aromatics. Smooth and silky in the mouth, the dark fruit core is surrounded with herb, pepper, coffee and brown spices.",Impératrice,90,45.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,William Grassie 2011 Impératrice Red (Columbia Valley (WA)),Bordeaux-style Red Blend,William Grassie
71230,Italy,"Refreshing, fun and refined, this crowd-pleasing sparkler offers ripe Bartlett pear, green apple and a hint of nectarine drop. Crisp acidity and a lively perlage give it a vibrant edge.",Brut,87,15.0,Veneto,Prosecco,,Kerin O’Keefe,@kerinokeefe,BiancaVigna NV Brut  (Prosecco),Glera,BiancaVigna
71237,France,"Tropical fruit aromas show up on the ripe fruity palate of this wine. With pineapple and mango, it is in the tropical spectrum of Sauvignon Blanc. The acidity is just right to keep the crisp texture in place. Drink now.",La Java des Grandes Esperances,87,15.0,Loire Valley,Touraine,,Roger Voss,@vossroger,Saget la Perrière 2016 La Java des Grandes Esperances Sauvignon Blanc (Touraine),Sauvignon Blanc,Saget la Perrière
71239,US,"There's a cotton candy aroma on the nose of this bottling that builds toward tropical fruit scents, such as guava, papaya and cherimoya. Apple pie, mango and coconut cream notes cling to a steely line of structure, feeling clean and crisp on the palate. A pop of bubblegum shows on the finish.",,87,19.0,California,Santa Margarita Ranch,Central Coast,Matt Kettmann,@mattkettmann,Ancient Peaks 2016 Chardonnay (Santa Margarita Ranch),Chardonnay,Ancient Peaks
71286,US,"This extraordinarily rich Syrah swamps the mouth with jammy blackberries, raspberries and cherries. There's nothing subtle about it. But it's basically dry and properly balanced with acids and tannins, which gives it needed balance. Drink now and through 2014 to experience the youthful opulence.",Garys' Vineyard,89,33.0,California,Santa Lucia Highlands,Central Coast,,,Novy 2008 Garys' Vineyard Syrah (Santa Lucia Highlands),Syrah,Novy
71293,US,"A very nice, elegant Pinot Noir. Shows clean crispness and pedigree, with fine acidity framing dry flavors of raspberries, cherries, red currants, licorice, bacon and cola. A rich feel. Drink now.",Dutton Ranch,89,38.0,California,Russian River Valley,Sonoma,,,Dutton-Goldfield 2008 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield
71295,Spain,"Fragrant, clean and tropical, with slate-driven minerality. The palate is just fleshy enough but mostly it's tight and crisp, with flavors of green apple, fresh green herbs and a drip of honey. Holds it together from front to back; just right for salads and seafood-based tapas.",,89,19.0,Northern Spain,Valdeorras,,Michael Schachner,@wineschach,Gaba do Xil 2009 Godello (Valdeorras),Godello,Gaba do Xil
71298,US,"A blend of three vineyard sites, this fragrant wine offers subtle scents of truffle and earth along with pomegranate and raspberry. The fruit flavors have a dusty character, and there is a strong mineral streak that washes through the midpalate. Give this plenty of breathing time.",Three Hills Cuvée,89,40.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Lange 2008 Three Hills Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Lange
71309,US,"This is the most expensive of the winery's new Cabs. It's also the fruitiest and most in need of time in the cellar. Right now, it's a candied blast of blackberries and cherries. The tannins are sweet and chunky, and the oak isn't integrated with everything else. It's awkward. But it should develop for a good 6–8 years, maybe even longer. The score reflects its potential.",Tomahawk Vineyard,92,110.0,California,Stags Leap District,Napa,,,Chimney Rock 2006 Tomahawk Vineyard Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Chimney Rock
71324,Argentina,"Despite showing a yellow color and gritty oiliness on the nose, this feels round and complete, with tropical flavors of mango, papaya and green melon. Everything about this is mild, inoffensive and tropical. Drink now before it starts to fade.",Ique,87,11.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Enrique Foster 2014 Ique Torrontés (Mendoza),Torrontés,Enrique Foster
71325,Spain,"Don't let the gold color fool you, this is quite vital with floral, leesy, almost grassy aromas. Bracing acidity is at the core with clover, grass, quince and sour-apricot flavors. Blasting acidity is a force on the finish.",Pazo Cilleiro,87,20.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,Bodegas Muriel 2014 Pazo Cilleiro Albariño (Rías Baixas),Albariño,Bodegas Muriel
71330,Spain,"Stalky, soupy berry aromas come up shy on elegance. This feels clampy and hard with rocky tannins. Standard berry fruit flavors are overshadowed by gritty stalky blackened accents, while the finish is grating and uncushioned but long.",Glorioso Gran Reserva,87,36.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Palacio 2007 Glorioso Gran Reserva  (Rioja),Tempranillo,Bodegas Palacio
71335,Germany,"Luscious honeyed tangerine and yellow peach notes are offset by a streak of minerality in this easy, off-dry Riesling. It's delicate in body yet juicy and refreshing. Drink now.",Kabinett,87,13.0,Rheinhessen,,,Anna Lee C. Iijima,,Dr. Volkmar 2013 Kabinett Riesling (Rheinhessen),Riesling,Dr. Volkmar
71338,France,"This is a well-balanced wine with honeyed ripeness contrasted with attractive, crisp acidity. Pineapple and baked-apple flavors are given a texture by the zing of the honey. It is ready to drink.",Les Deux Cèdres,87,15.0,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Domaine d'Arton 2012 Les Deux Cèdres Gros Manseng (Côtes de Gascogne),Gros Manseng,Domaine d'Arton
71346,US,"Given four years in 100% new French oak and another year in bottle, this is a blockbuster of a wine. It's huge in every way, from its intensity of coconut, vanilla and milk chocolate to its dense, chalky tannins. It may need time to come around, its sheer weight impressively wrapped in blackberry and blueberry jam.",,87,65.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Eighty Four 2009 Petite Sirah (Napa Valley),Petite Sirah,Eighty Four
71355,France,"The wine is ripe and bone dry. It has a tight structure, mineral texture and intense acidity. There is a bitter edge in this young wine that will blow away as the ripe white fruit asserts itself. At the end, there is a touch of honey.",Fantaisie,88,18.0,Southwest France,Jurançon Sec,,Roger Voss,@vossroger,Château de Jurque 2014 Fantaisie  (Jurançon Sec),Gros and Petit Manseng,Château de Jurque
71367,US,"This pale peach, lightly bricked wine brings aromas of strawberry and melon rind. It drinks dry with a broad feel and fruit flavors that linger.",Estate Riverbend Vineyard Cabernet Franc,88,24.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Fielding Hills 2015 Estate Riverbend Vineyard Cabernet Franc Rosé (Wahluke Slope),Rosé,Fielding Hills
71372,Chile,"Aromas of nettle and cactus pad are briny and typical of Leyda SB. This is full in body for Sauvignon Blanc, but balanced by needle-like acidity. Flavors follow the nose, meaning nettle, briny citrus and bell pepper. A long finish is sharp but balanced.",Kalfu Kuda,88,19.0,Leyda Valley,,,Michael Schachner,@wineschach,Ventisquero 2015 Kalfu Kuda Sauvignon Blanc (Leyda Valley),Sauvignon Blanc,Ventisquero
71395,Italy,"This special wine is aged for 18 months in oak and shows a massively long and intense finish, with evolving notes of black fruit, ash, prune, spice, leather and bitter black chocolate. It showcases the hard work achieved by Feudi di San Gregorio over the years. This should age for 10 years or more.",Piano di Montevergine Riserva,94,65.0,Southern Italy,Taurasi,,,,Feudi di San Gregorio 2007 Piano di Montevergine Riserva  (Taurasi),Aglianico,Feudi di San Gregorio
71403,France,"Superbly ripe, this wine shows upfront botrytis and honey flavors. At its core, it bears opulence, with depth and concentration. The open character of the wine is shot through with lemon and orange zest flavors.",,94,,Bordeaux,Sauternes,,Roger Voss,@vossroger,Château de Malle 2009  Sauternes,Bordeaux-style White Blend,Château de Malle
71406,France,"Big, floral, ripe and juicy, this epitomizes the richness of the 2009 vintage. It offers firm tannins and generous, forward fruits.",,94,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Valandraud 2009  Saint-Émilion,Bordeaux-style Red Blend,Château Valandraud
71422,France,"The 20% Malbec in the blend helps to produce the spicy tannins and dark color of this wine. The other grapes in the blend add richness and firm structure, plus a blackberry-driven juiciness. With its bright acidity added to the mix, this is a serious wine with good aging potential.",Château Guerry,89,19.0,Bordeaux,Côtes de Bourg,,Roger Voss,@vossroger,Bernard Magrez 2010 Château Guerry  (Côtes de Bourg),Bordeaux-style Red Blend,Bernard Magrez
71430,France,"New-wood flavors abound in this firmly structured, dry wine. With its tannins at the fore, plus its heavy toast and sweet-tasting black-fruit flavors, it has weight and density. This is likely to age well over 3–4 years.",,89,25.0,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Château Tanesse 2010  Cadillac Côtes de Bordeaux,Bordeaux-style Red Blend,Château Tanesse
71466,Portugal,"Firmly tannic and dry, this is a textured wine with a strong mineral character. Its dark plum-skin fruitiness is tight, nervy and spicy. A strong tannic element, very dry and firm, pushes forward. It's a wine to drink from 2017.",Quinta das Setencostas,87,8.0,Alenquer,,,Roger Voss,@vossroger,Casa Santos Lima 2011 Quinta das Setencostas Red (Alenquer),Portuguese Red,Casa Santos Lima
71476,Germany,"Fresh lemon-peel and lanolin notes add complexity to this bright, intensely fruity Riesling. Crisp with acidity, it's refreshingly easy on the palate, with a delicate, lacy sugar note that lingers long on the finish.",Graacher Himmelreich Kabinett,89,23.0,Mosel,,,Anna Lee C. Iijima,,Friedrich-Wilhelm-Gymnasium 2011 Graacher Himmelreich Kabinett Riesling (Mosel),Riesling,Friedrich-Wilhelm-Gymnasium
71481,Chile,"Minerally opening aromas yield to a tight collection of green herb and citrus scents that steer clear of anything feline or grassy. This offers shear, zesty flavors of gooseberry, lime and tarragon in front of a stony feeeling finish that's crisp but not grating.",Castillo de Molina Reserva,89,13.0,Elqui Valley,,,Michael Schachner,@wineschach,San Pedro 2012 Castillo de Molina Reserva Sauvignon Blanc (Elqui Valley),Sauvignon Blanc,San Pedro
71512,US,"Like most Washington Sangiovese, a bit nondescript. You won't mistake it for Chianti, but it doesn't have the ripe strawberry and tobacco punch of the best versions from this state. It's light, herbal, and has gentle tannins with suggestions of cracker and grain.",,86,30.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Zerba Cellars 2006 Sangiovese (Columbia Valley (WA)),Sangiovese,Zerba Cellars
71525,France,"This easy-drinking white wine is broad on the palate, with just enough acidity to provide a clean, refreshing finish. Ripe melon notes mingle easily with citrus in this mix of Viognier, Roussanne and Clairette.",Réserve Grand Veneur,87,15.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Alain Jaume et Fils 2016 Réserve Grand Veneur White (Côtes du Rhône),Rhône-style White Blend,Alain Jaume et Fils
71526,US,"Aromas of game, medicine cabinet, Band-Aid and herb are followed by creamy-feeling fruit and barrel flavors. Game notes linger on the finish.",Estate Grown Limited Varietal Selection,87,75.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Ambassador Vineyard 2014 Estate Grown Limited Varietal Selection Cabernet Franc (Red Mountain),Cabernet Franc,Ambassador Vineyard
71537,France,This Dulon wine is full of wood flavors that are currently dominating the fruit. That will change as the blackberry fruitiness emerges from the background. So give this wine until 2019 to bring out its inherent juiciness.,,87,16.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Grand Jean 2015  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Grand Jean
71538,France,"Produced from biodynamically grown grapes, the wine is structured with firm tannins and an austere character. The sixth generation of the Hubert family at the estate has made a wine that will need time for the acidity and the structure to soften. From 2019, it will have richness and a more full-bodied character.",Tête de Cuvée,87,19.0,Bordeaux,Côtes de Bourg,,Roger Voss,@vossroger,Château la Grolet 2014 Tête de Cuvée  (Côtes de Bourg),Bordeaux-style Red Blend,Château la Grolet
71553,US,"The winery is part of the emerging garagiste movement in Paso Robles. It's an ambitious wine, blended with Petite Sirah and Malbec, both of which add complexity. But there's a candied tone to the blackberry flavors that makes it lush and soft.",Ethereal,85,45.0,California,Paso Robles,Central Coast,,,Ascension Cellars 2010 Ethereal Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Ascension Cellars
71582,Italy,"Made with air dried grapes, this fruity blend of Merlot, Cabernet Sauvignon and Corvina (a native grape of Veneto, northern Italy) opens with raw notes of cherry, blackberry and exotic spice. It's smooth and rich with a powerful blast of cherry on the close.",Le Soraie,88,20.0,Veneto,Rosso del Veronese,,,,Pasqua 2006 Le Soraie Red (Rosso del Veronese),Red Blend,Pasqua
71600,US,"Perhaps the most accessible of Melville's new 2011s, the Sandy's exhibits cherry, pomegranate and sweet red plum fruit flavors, leading to a long, spicy finish. It's round and mellow in the mouth, with a nice tang of acidity. Drink now–2016.",Sandy's Estate,90,50.0,California,Sta. Rita Hills,Central Coast,,,Melville 2011 Sandy's Estate Pinot Noir (Sta. Rita Hills),Pinot Noir,Melville
71607,US,"The winery is better known for Pinot Noir, but now turns to Chardonnay, with good results. The little-known appellation is in the middle of the warm-cool Sonoma spectrum, and the wine shows ripe orange, pear and pineapple flavors, brightened with crisp acidity.",,90,24.0,California,Bennett Valley,Sonoma,,,Bennett Valley Cellars 2010 Chardonnay (Bennett Valley),Chardonnay,Bennett Valley Cellars
71611,Spain,"Earthy aromas of clay accent core blackberry and cassis scents. Hailing from a warm year, it's not surprising that this feels lush and padded. Flavors of chunky blackberry, stewed plum and chocolate finish creamy, earthy and a touch flat. Drink this meaty, round, soft-bodied Toro now through 2016.",Gago,90,31.0,Northern Spain,Toro,,Michael Schachner,@wineschach,Telmo Rodríguez 2009 Gago  (Toro),Tinta de Toro,Telmo Rodríguez
71615,US,"After years of producing a basic Sonoma County Pinot, the winery turns to the coast for this blend of several vineyards. The results are wonderful. The wine is rich and expressive in raspberries and cherries, with touches of bacon, cola and the sweetness of new French oak. Drink this silky wine now.",,90,24.0,California,Sonoma Coast,Sonoma,,,Chateau St. Jean 2011 Pinot Noir (Sonoma Coast),Pinot Noir,Chateau St. Jean
71619,US,"Sweet red cherry, strawberry and smoky charred oak figure most prominently in this robust, full-bodied wine, which opens in a yeasty, baked bread note, and which comes across as somewhat undeveloped.",Reserve,83,20.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Frei Brothers 2014 Reserve Zinfandel (Dry Creek Valley),Zinfandel,Frei Brothers
71622,US,"Herb aromas and veggie flavors dominate this light-bodied wine. Not much fruit flavor peeks through the herb garden, but the lean white pepper notes and crisp texture are appealing.",,83,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,Line 39 2014 Sauvignon Blanc (California),Sauvignon Blanc,Line 39
71635,Chile,"Cherry and plum aromas lack purity and turn more earthy, horsey and unclean upon airing. Sharp, cutting acidity creates and jagged palate, while flavors of sour black plum and cherry finish with saucy notes on a choppy, short finish.",,83,9.0,Maule Valley,,,Michael Schachner,@wineschach,Kunza 2014 Merlot (Maule Valley),Merlot,Kunza
71638,Spain,"By now it's known that 2013 was a cold, tough, miserly vintage in most of Spain, RDD included. But this horsey, funky number goes beyond vintage conditions. It's unfocused, citric, leafy and green, with a hammering finish. Bottom line: this is not what you want from Ribera del Duero.",Roble 12 Meses,82,32.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Campos Góticos 2013 Roble 12 Meses  (Ribera del Duero),Tempranillo Blend,Campos Góticos
71646,France,"The attractive half bottle means this vintage wine can age more quickly than the same wine in a full bottle. It's already hinting at maturity with touches of cookie and toast flavors. There is still a fresh apple and citrus streak that gives a steel, mineral thrust at the end.",Femme de Champagne Grand Cru Brut,93,65.0,Champagne,Champagne,,Roger Voss,@vossroger,Duval-Leroy 2004 Femme de Champagne Grand Cru Brut  (Champagne),Champagne Blend,Duval-Leroy
71655,Italy,"Black cherry and berry flavors fill the balanced mouth of this riserva. There's a lot of life in this wine and it will age slowly over the years. The freshness is bright and cleansing, and the tannins tends toward a fine and dusty quality.",Riserva,93,90.0,Tuscany,Brunello di Montalcino,,,,Fuligni 2007 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Fuligni
71658,Italy,"This pretty Brunello riserva shows elegant tones of candied fruit, prune, leather, rum cake and dried rosemary. The wine is smooth and fine, with silky tannins and a elegantly aged quality. Don't wait too long to drink this wine.",Riserva gli Angeli,93,65.0,Tuscany,Brunello di Montalcino,,,,La Gerla 2007 Riserva gli Angeli  (Brunello di Montalcino),Sangiovese Grosso,La Gerla
71664,US,"Both grapey and leathery, this is already a bit dried out and should be consumed near term. It's vineyard designated and pure varietal, aged for 22 months in a single French oak barrel.",Verhey Vineyard,86,25.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,:Nota Bene 2009 Verhey Vineyard Malbec (Yakima Valley),Malbec,:Nota Bene
71679,France,"Light, fruity wine, hinting at strawberries, along with a vanilla touch from the Merlot in the blend. It's crisp and ready to drink.",,86,9.0,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Domaine de Lartigue 2012 Rosé (Côtes de Gascogne),Rosé,Domaine de Lartigue
71684,US,"An estate-grown 81% Merlot (the rest Cabernet Sauvignon), this wine takes time to come around in the glass, the alcohol overpowering the fruit at first. But in time, the red fruit and soft tannins mellow and make themselves known and this mostly-Merlot becomes a savory, food-friendly quaff.",Lorilai's Reserve-Zmarzly Family Vineyards,86,24.0,California,Mendocino,,Virginie Boone,@vboone,Albertina 2009 Lorilai's Reserve-Zmarzly Family Vineyards Merlot (Mendocino),Merlot,Albertina
71695,Spain,"Light, tropical aromas of citrus fruits form the bouquet. This is fresh but standard in feel, with flavors of lettuce, green herbs, white fruits and brine. The finish feels reasonably good but doesn't offer much flavor.",Brut Nature Reserva,86,13.0,Catalonia,Cava,,Michael Schachner,@wineschach,Mas Fi NV Brut Nature Reserva Sparkling (Cava),Sparkling Blend,Mas Fi
71705,US,"Woody, toasty oak notes shade aromas of apple and lemon on this sparkling Chardonnay. Bristling lemon-lime acidity helps to balance out a foam of rich, thick, expansive bubbles.",Blanc de Blancs,86,30.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Château Frank 2008 Blanc de Blancs Chardonnay (Finger Lakes),Chardonnay,Château Frank
71725,Austria,"This is a ripe, creamy wine made with grapes from a single vineyard. It's smooth yet laced with minerality and a tang of lemon zest, green apple and kiwi. This should age nicely for 3–4 years.",Wachtberg Erste Lage,93,28.0,Kremstal,,,Roger Voss,@vossroger,Salomon-Undhof 2011 Wachtberg Erste Lage Grüner Veltliner (Kremstal),Grüner Veltliner,Salomon-Undhof
71726,US,"This pure, supple, fruit-laden Syrah is loaded with wild blackberry fruit, and detailed veins of licorice, coffee, and iron filings. The wine's excellent length and polished tannins showcase exceptional handling of superb fruit.",McKinley Springs Vineyard,93,30.0,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Syncline 2010 McKinley Springs Vineyard Syrah (Horse Heaven Hills),Syrah,Syncline
